商品ID,是否上架,日期,是否企业店铺,店铺名称,店铺等级,掌柜ID,资质押金,描述,服务,物流,价格1,价格2,价格3,价格4,价格,优惠券,是否免邮,尺码,库存,支付,是否公益,收藏宝贝,详情照片数,视频有无,累计评论,商品信息字数,30天销售量,30天成功交易量,评论有图,追评,好评,中评,差评,评价印象标签及数量
566353553411,1,2019/10/3,0,恒源祥品牌专柜店,3蓝冠,乐馨小店,2000元,4.9,4.9,4.9,238.00,238.00,218.00,238.00,188.00,淘金币可抵3.76元//100元店铺优惠券/满1498元可用/领取//50元店铺优惠券/满698元可用/领取,1,S/M/L/XL/2XL/3XL,28736,蚂蚁花呗/信用卡支付/集分宝,1,12082,22,0,650,198,1933,1132,14,3,650,0,0,衣服很舒服/(67)/质量蛮好/(52)/穿着效果好/(44)/版式好/(35)/尺码很准/(27)/款式很潮/(25)/做工很赞/(15)/颜色挺正/(15)/布料好/(11)/好搭配/(10),
602676738102,1,2019/10/3,1,恩家汇/小恩的种草世界,5蓝冠,恩家汇,44225.11元,4.9,4.9,4.9,3180.00,1680.00,1699.00,0,899.00,150元店铺优惠券/满3099元可用/领取//100元店铺优惠券/满2099元可用/领取,1,M/L,817,蚂蚁花呗/信用卡支付/集分宝,0,786,89,1,0,232,545,2,0,0,0,0,0,0,
601917703958,1,2019/10/3,0,YesasYou,3蓝冠,yesasyou,1000元,4.7,4.8,4.8,461.30,438.00,369.00,368.00,225.00,0,0,S/M,319,蚂蚁花呗/信用卡支付/集分宝,0,15878,41,0,198,207,2873,545,14,4,198,0,0,很舒适/(17)/颜色很美/(6)/穿着漂亮/(3),
588348559121,1,2019/10/3,0,恒源祥永恒专柜店,2蓝冠,佳人名媛阁,2001元,4.9,4.9,4.9,348.00,168.00,298.00,168.00,168.00,淘金币可抵3.36元//20元店铺优惠券/满300元可用/领取//10元店铺优惠券/满200元可用/领取,1,S/M/L/XL/2XL/3XL/4XL/5XL/6XL,42133,信用卡支付/集分宝,1,3583,28,0,1374,226,1538,975,4,6,1374,0,0,质量蛮好/(106)/很舒服/(65)/穿着美/(50)/尺寸很准/(34)/款式很潮/(33)/做工很好/(28)/人群/(28)/版型好/(28)/颜色很好/(25)/面料好/(23),
602014909128,1,2019/10/3,0,小岛微风,5蓝冠,aegean19880816,4000元,4.9,4.9,4.9,3580.00,2598.00,2598.00,1980.00,1680.00,120元店铺优惠券/满2000元可用/领取//80元店铺优惠券/满1500元可用/领取,1,均码,9,蚂蚁花呗/信用卡支付/集分宝,0,756,38,0,30,103,169,125,4,0,30,0,0,0,
598684531770,1,2019/10/3,0,NicePeople专注法式精品,5蓝冠,maohelaoshu3,22108元,4.8,4.8,4.8,499.00,269.00,598.00,569.00,398.00,满1件/享部分地区包邮,0,S/M,182,蚂蚁花呗/信用卡支付/集分宝,0,30688,40,1,887,219,1189,92,93,29,885,1,1,颜色很美/(60)/式样好/(54)/很舒适/(49)/质量不错/(27)/穿着漂亮/(14)/没有色差/(11)/挺厚实的/(7),
602845140831,1,2019/10/3,0,欣儿法国代购,1蓝冠,荣昌玻璃瓶直销店,1518元,4.9,4.9,4.9,9240.00,1757.00,1701.00,1302.00,658.00,0,1,1/2/3,81,蚂蚁花呗/信用卡支付/集分宝,0,9,8,0,6,72,6,6,0,0,6,0,0,0,
602942845405,1,2019/10/3,0,纯绒体验店,2蓝冠,mengxuxu0,3000元,4.9,4.9,4.9,1080.00,598.00,798.00,368.00,398.00,淘金币可抵7.96元,1,S/M/L/XL/2XL/3XL/4XL,2574,蚂蚁花呗/信用卡支付/集分宝,0,384,17,0,56,170,224,78,4,0,56,0,0,很舒服/(23)/衣服不错/(14)/穿着美/(7)/颜色很好/(7)/大小合适/(7)/版型漂亮/(4)/款式好/(4),
601745285787,1,2019/10/3,0,千寻法国巴黎代购,2蓝钻,young最高,1000元,4.9,4.9,4.9,2250.00,1480.00,1650.00,1260.00,1220.00,淘金币可抵24.40元//200元店铺优惠券/满2888元可用/领取//50元店铺优惠券/满1000元可用/领取,1,1/S/2/M/3/L,9,蚂蚁花呗/信用卡支付/集分宝,0,334,15,0,23,185,47,26,0,0,23,0,0,0,
564037622650,1,2019/10/3,0,恒源祥厂家直销店,3蓝冠,清妍开心淘,1111元,4.9,4.9,4.9,288.00,368.00,248.00,178.00,158.00,淘金币可抵3.16元//20元店铺优惠券/满288元可用/领取//10元店铺优惠券/满188元可用/领取,1,S/M/L/XL/2XL/3XL,31409,蚂蚁花呗/信用卡支付/集分宝/货到付款,1,62334,70,1,273,226,1773,1075,0,2,273,0,0,很舒适/(22)/穿着漂亮/(20)/宝贝很赞/(18)/大小合适/(7)/与描述相符/(5)/包装挺好/(4)/版型漂亮/(4)/款式好看/(4)/颜色很美/(4)/服务好/(3),
